CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
U74990KA2011PTC058008,MEDTEL SYSTEMS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,06-04-2011,Karnataka,100000.0,100000.0,74990,Real estate renting and business activities,"LEVEL - 1, RITU MAHAL, # 180, 2ND B CROSS4TH MAIN, DOMLUR, 2ND STAGE  ",ROC BANGALORE,pankaj.pathak@gmail.com,,
U24231KA2004PTC034674,MURISH BIO FORMULATIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,13-09-2004,Karnataka,500000.0,100000.0,24231,Manufacturing,"NO. 22/2, UNIT (A), 4TH FLOORN.J.CHAMBERSV.N. ROAD TASKER TOWN SHIVAJINAGAR  ",ROC BANGALORE,,,
U74994KA2018OPC117487,PRAJNANAM VEDIC CENTRE (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,11-10-2018,Karnataka,100000.0,100000.0,74994,Real estate renting and business activities,"No.54/55, A-5, 4th Floor, AECS Layout,MR Garden, 1st Main Road, Sanjaynagar,  ",ROC BANGALORE,jayajl2009@Yahoo.com,,
U72200KA1997PLC022613,SHIPI SOFTWARE SIGNATURE PRIVATELIIMITED  ,STOF,Public,Company limited by Shares,Non-govt company,06-08-1997,Karnataka,500000.0,1000.0,72200,Real estate renting and business activities,59 33/1 14TH MAIN111 RD BLOCKJAYANAGAR   ,ROC BANGALORE,,,
U74999KA2019OPC127836,ESIGELEC SOUTH ASIA OFFICE (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,11-09-2019,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"G2,NAGA RESIDENCYNO 2/2 ST JOHNS ROAD  ",ROC BANGALORE,VIDYA.SURI@GMAIL.COM,,
U55204KA2017PTC108534,BORBHUYAN COMFORTINN SERVICE APARTMENTPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,08-12-2017,Karnataka,500000.0,500000.0,55204,Hotels and restaurants,"NO-126, 2ND CROSS,K G A ROAD,KODIHALLI,OLD AIRPORT ROAD,  ",ROC BANGALORE,PLEASANTTOURISMS@GMAIL.COM,,
U31104KA2010PTC054855,TRANSTECH GEARS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,19-08-2010,Karnataka,20000000.0,20000000.0,31104,Manufacturing,"NO.10/1, GROUND FLOOR,LAKSHMIPURA MAIN ROAD,CHIKKABANAVARA POST, ABBIGER  ",ROC BANGALORE,accounts@transtechgears.com,31-03-2019,31-03-2019
U36900KA2018OPC116300,SAMRUD GOLD TRADING (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,12-09-2018,Karnataka,100000.0,100000.0,36900,Manufacturing,"NO 486, BAGALUR VILLAGEJALA HOBLI, BANGALORE NORTH  ",ROC BANGALORE,Naveenchandra.mn066@gmail.com,,
U74140KA2019PTC122016,LAKSHITHA TECHNO SERVICES PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,28-02-2019,Karnataka,1000000.0,100000.0,74140,Real estate renting and business activities,"No. 47, SANGEETHA, MAHAVEER NAGAR,KUMBALAGUDU  ",ROC BANGALORE,lakshithatechno@gmail.com,,
U74999KA2016PTC098614,PROELITE CONSULTANTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,20-12-2016,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"No.4,BSV REDDY LAYOUTBEERADAVARA NILAYA, RAMAMURTHY NAGAR  ",ROC BANGALORE,contact.proelite@gmail.com,31-03-2019,31-03-2019
U25110KA1989PTC009930,KUMTA MEDICAL CENTRE PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,17-03-1989,Karnataka,500000.0,110000.0,25110,Manufacturing,NELLIKERIKUMTAUTTRA KANNADA  ,ROC BANGALORE,sundernetra@yahoo.co.in,31-03-2007,31-03-2008
U55101KA2001PLC029761,BHAGAWAN SREE SATHYA SAI HOTELS LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,13-11-2001,Karnataka,500000.0,500000.0,55101,Hotels and restaurants,"SHRI H.M.GANDHI,NO.683/A,VISHWA SHANTHI BHAWAN100FEET RING ROAD,2ND PHASE,J.P.NAGAR,  ",ROC BANGALORE,,,
U74110KA1952PTC000742,THE MYSORE SYNDICATE PVT LTD   ,STOF,Private,Company limited by Shares,Non-govt company,15-12-1952,Karnataka,100000.0,0.0,74110,Real estate renting and business activities,,ROC BANGALORE,,,
U74999KA2019PTC122088,BIOCONNEXUS INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,01-03-2019,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"D-5, EPSILONYEMLUR ROAD  ",ROC BANGALORE,milind@bioconnexus.com,,
U29253KA1986PTC007504,GENFAB TOOLS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,05-03-1986,Karnataka,500000.0,1000.0,29253,Manufacturing,"NO.20/A, 4TH BLOCK, IST CROSS,THYAGARAJANAGARBANGALORE  ",ROC BANGALORE,,,
U27320KA1992PTC013273,MEHTA INDUSTRIAL SUPPLIERS PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,22-06-1992,Karnataka,10000000.0,10000000.0,27320,Manufacturing,"4/1, II MAIN ROADKASTURIBA NAGARMYSORE ROAD  ",ROC BANGALORE,msmetals@gmail.com,31-03-2006,31-03-2006
U33125KA1989PTC010407,VACUUM TECHNIQUES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,27-09-1989,Karnataka,20000000.0,13745000.0,33125,Manufacturing,"No. 2/13, 1st Stage, 1st Phase,Peenya Industrial Area  ",ROC BANGALORE,accounts@vtvacuumtech.com,31-03-2019,31-03-2019
U17122KA2009PTC050706,SUDARSHAN SILK PALACE BANGALORE PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-08-2009,Karnataka,11000000.0,10609500.0,17122,Manufacturing,"No 231, 1st Floor,Chickpet  ",ROC BANGALORE,santosh@sudarshansilk.com,31-03-2019,31-03-2019
U29119KA2008PTC046391,ARF DESIGN PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,12-05-2008,Karnataka,100000.0,100000.0,29119,Manufacturing,"No.1216, and 1217,24th main, Sector-1 HSR Layout  ",ROC BANGALORE,sanjaykm95@gmail.com,31-03-2019,31-03-2019
U93090KA2019PTC128798,REPYUTE NETWORKS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-10-2019,Karnataka,500000.0,116400.0,93090,Other community social and personal service activities,"No.375, 14th B Cross, 5th Main6th Sector, HSR Layout  ",ROC BANGALORE,dhardeepak@gmail.com,,
U40300KA2017PTC100390,SILVERSPIRIT SOLAR POWER PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,09-02-2017,Karnataka,1000000.0,100000.0,40300,Electricity gas and water supply,"#406, CONTOUR ROAD,GOKULAM, 3RD STAGE,  ",ROC BANGALORE,info@silverspirit.com,31-03-2018,31-03-2018
U74999KA2018PTC117200,ANTOR SPACE TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-10-2018,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"NO R-10, K.S.S.I.D.C, HEEREBIDANURGAURIBIDANUR  ",ROC BANGALORE,compliance@antor.space,31-03-2019,31-03-2019
U74900KA2014PTC077333,AGILIS INTERIORZ SOLUTIONS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,19-11-2014,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"No. 30, Second Floor,Situated at Jayamahal Road,  ",ROC BANGALORE,noor@agilesolutions.in,31-03-2019,31-03-2019
U52100KA2019PTC125306,WELDFERRO TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,17-06-2019,Karnataka,1000000.0,100000.0,52100,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"NO.172, 69th CROSS, 17th MAINOPP RPA School 5th Block Rajajinagar  ",ROC BANGALORE,INFO.WELDFERRO@GMAIL.COM,,
U74999KA2016PTC097206,PEREGRINE AIR AVIATION INDIA PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-10-2016,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"151, 3rd Phase, K I A D BLaggere Mn Rd, BG Peenya Industrial Area  ",ROC BANGALORE,chairman@peregrineair.in,,
U67190KA2014PTC075021,PALANCA CAPITAL ADVISORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-06-2014,Karnataka,1000000.0,1000000.0,67190,Financial intermediation,"Ground Floor, No. 2215, HAL III Stage,Indiranagar, 80 Feet Road,  ",ROC BANGALORE,ashwin@palancacapital.com,31-03-2019,31-03-2019
U72300KA2014PTC074881,NUVEPRO TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,16-06-2014,Karnataka,7500000.0,6173030.0,72300,Real estate renting and business activities,"No.26(Old No. 686), 16th Main4th T Block, Jayanagar  ",ROC BANGALORE,giridhar@nuvepro.com,31-03-2019,31-03-2019
U55103KA2008PTC047854,ILONA HOSPITALITIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,25-09-2008,Karnataka,1000000.0,1000000.0,55103,Hotels and restaurants,"Apt No. H-116 , Brigade petunia, Site No. 1& 9Banashankari II Stage, II phase ,Industrial Layout  ",ROC BANGALORE,dnassociates@rediffmail.com,31-03-2016,31-03-2016
U72900KA1997PTC022755,NETLAND TECHNOLOGY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,10-09-1997,Karnataka,500000.0,15000.0,72900,Real estate renting and business activities,"27/2,17TH CROSS,MALLESWARAM   ",ROC BANGALORE,,,
U72200KA2015FTC082989,GETIT COMMUNICATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,23-09-2015,Karnataka,15000000.0,3500000.0,72200,Real estate renting and business activities,"5AC-714, HRBR Layout1st Block, Banasawadi  ",ROC BANGALORE,filing@akshayacs.com,31-03-2019,31-03-2019
U72900KA2017PTC099680,MAGVIZ INNOVATIONS PRIVATE LIMITED   ,NAEF,Private,Company limited by Shares,Non-govt company,06-02-2017,Karnataka,500000.0,500000.0,72900,Real estate renting and business activities,"No 323, 1st Floor,3rd Main, 7th Cross,  ",ROC BANGALORE,satish640@gmail.com,,
U80904KA2009PTC050504,GREENWELL EDUCATION AND CONSULTANCYPRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,29-07-2009,Karnataka,100000.0,100000.0,80904,Education,"532, NGEF LAYOUT, 8TH MAIN, 1ST CROSS,SADANANDA NAGAR,  ",ROC BANGALORE,itsrinidhi@gmail.com,31-03-2013,31-03-2013
U64203KA2011PTC059947,MAXEYE TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,10-08-2011,Karnataka,100000.0,100000.0,64203,Transport storage and communications,"#124, Third Floor , A Cross,Nanja Reddy Colony , Murugeshpalya  ",ROC BANGALORE,ramesh@maxeyetech.com,31-03-2019,31-03-2019
U45203KA2016PTC095718,GRANDE LUXUS REALTY INFRASTRUCTUREPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,12-08-2016,Karnataka,100000.0,100000.0,45203,Construction,"#10, 3rd floor, MEETHAL TOWER, P & T ColonyR.T.Nagar Main Road  ",ROC BANGALORE,intarchitects@fgmail.com,31-03-2019,31-03-2019
U45203KA2014PTC077248,S.RAJAKUMAR ENGINEERING ANDCONSTRUCTIONS PRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,14-11-2014,Karnataka,10000000.0,10000000.0,45203,Construction,"NO 18, 2ND CROSSKAVERI NAGAR, R.T. NAGAR POST  ",ROC BANGALORE,rajakumar.sgs@gmail.com,31-03-2019,31-03-2019
U85110KA1995PTC019384,VISION INDIA ENTERTAINMENT WORLDWIDE PRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,13-12-1995,Karnataka,5000000.0,2000.0,85110,Health and social work,"PENQUIN HOUSE,P.B8464,HENNUR POSTBANGALORE  ",ROC BANGALORE,,,
U24110KA1971PLC002099,KARNATAK CHEMICALS LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,23-09-1971,Karnataka,10000000.0,12300.0,24110,Manufacturing,"3/6, PALACE ROAD,BANGALORE   ",ROC BANGALORE,,,
U74900KA2013PTC070894,FOXTROT OUTSOURCING & TECHNOLOGIESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-09-2013,Karnataka,100000.0,100000.0,74900,Real estate renting and business activities,"Plot No.17, S.R. Residency, 1st Cross, ShanthivanaSanjeevani Nagar  ",ROC BANGALORE,nsh@foxtrotenterprises.net,31-03-2019,31-03-2019
U51909KA1985PTC007012,GAYATRI TRADERS PRIVATE LIMITED   ,CLLP,Private,Company limited by Shares,Non-govt company,10-07-1985,Karnataka,500000.0,100000.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"NO.1172, VAGDEVISADAN,ASHOKNAGAR  ",,haripriyahotel@rediffmail.com,31-03-2018,31-03-2018
U24248KA2004PTC033277,PADMINI PRODUCTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-01-2004,Karnataka,50000000.0,45000000.0,24248,Manufacturing,"NO.157, K.KAMARAJ ROADBANGALORE 560 042   ",ROC BANGALORE,padmini.aromatics@vsnl.net,31-03-2019,31-03-2019
U72900KA2019PTC121262,COMPLECT TECHNOLOGIES PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-02-2019,Karnataka,1000000.0,100000.0,72900,Real estate renting and business activities,"NO.18, K No-345, CCONET GARDEN,AYYAPPANAGAR, K R PURAM,  ",ROC BANGALORE,suhasininarayan1986@gmail.com,,
U72900KA2001PTC028824,QUASAR INFOTECH AND TELECOMMUNICATIONSPRIVATE LIMITED  ,STOF,Private,Company limited by Shares,Non-govt company,26-03-2001,Karnataka,100000.0,90000.0,72900,Real estate renting and business activities,"'THE PENTAGON', 104,11 MOSQUE ROAD,BANGALORE  ",ROC BANGALORE,,,
U72200KA2017OPC100435,SEMIDIGIT TECHNOLOGY (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,13-02-2017,Karnataka,100000.0,100000.0,72200,Real estate renting and business activities,"GROUND FLOOR, OFFICE-1, #10, OPPOSITE BALAJI PLAZAKARTHIK NAGAR, ORR  ",ROC BANGALORE,PRIYANKAGUPTA250@GMAIL.COM,31-03-2019,
U01132KA2013PTC070642,MAS SUSTAINABLE COFFEE PRODUCER COMPANYLIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,22-08-2013,Karnataka,1000000.0,832250.0,01132,Agriculture & allied,"Second Floor, Behind RTO Office3rd Cross,  ",ROC BANGALORE,masscpc@gmail.com,31-03-2019,31-03-2019
U15202KA2007PTC043211,SUVARNA PUSHPA FOODS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,25-06-2007,Karnataka,500000.0,0.0,15202,Manufacturing,"No.1285,  'BADARI' , 8TH C CROSSGIRINAGAR 2ND PHASE  ",ROC BANGALORE,kupendraco@gmail.com,,
U63090KA1998PTC024181,MARS INTEL AIR TRAVELS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,07-09-1998,Karnataka,1500000.0,400.0,63090,Transport storage and communications,"NO.48, WELLINGTON STREET,RICHMOND TOWNBANGALORE - 560 025.  ",ROC BANGALORE,,,
U01407KA1983PTC005505,BELLAD AGRO INDUSTRY PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,18-08-1983,Karnataka,200000.0,12000.0,01407,Agriculture & allied,"OPP ENGINEERING COLLEGE,VIDYANAGAR,HUBLI   ",ROC BANGALORE,,,
U74999KA2016OPC095322,DOWNUNDER DISTRIBUTORS (OPC) PRIVATELIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,27-07-2016,Karnataka,100000.0,100000.0,74999,Real estate renting and business activities,"222, NURTURELABZ, INDIRANAGAR DOUBLE ROADDOMLUR II STAGE, INDIRANAGAR  ",ROC BANGALORE,ca.sureshnandwani@yahoo.co.in,,
U15143KA2019PTC128685,PRAXIS AGROCARE PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,11-10-2019,Karnataka,100000.0,100000.0,15143,Manufacturing,"No.9, 3rd Cross,Kandaya Colony,GejagalliNear Marigudi Temple,J P Nagar  ",ROC BANGALORE,praxisagrocare@gmail.com,,
U01100KA2019OPC121017,CONIC BIOTECH (OPC) PRIVATE LIMITED   ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,04-02-2019,Karnataka,100000.0,100000.0,01100,Agriculture & allied,"PLOT NO 8 NEAR AGRO TECH PARK,BAGALKOT,  ",ROC BANGALORE,wibiworldbagalkot@gmail.com,,
U31401KA2002PTC030817,PRIME TECH ACCUMULATORS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,24-07-2002,Karnataka,3500000.0,3500000.0,31401,Manufacturing,"NO.151/A, 3RD CROSS,5TH MAIN,INDUSTRIAL SUBURB, 2ND STAGE,  ",ROC BANGALORE,accounts@primetechaccumulator.com,31-03-2019,31-03-2019
U65993KA1973PLC002305,KARNATAK INVESTMENTS AND TRADERS LIMITED   ,NAEF,Public,Company limited by Shares,Non-govt company,26-02-1973,Karnataka,1000000.0,100000.0,65993,Financial intermediation,"MAHADEVAPURA POST,WHITEFIELD ROADB'LORE 48  ",ROC BANGALORE,,,
U15100KA2019PTC127735,SHAMANTH PRODUCTS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,06-09-2019,Karnataka,100000.0,100000.0,15100,Manufacturing,"No. 39, Lakshman Mudilayar StreetShivaji Nagar  ",ROC BANGALORE,info@sureva.in,,
U52110KA2006PTC039218,INVENTIS RETAIL INDIA PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,03-05-2006,Karnataka,2400000.0,2194770.0,52110,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"B-503, RANKA PLAZA157, WHEELER ROAD FRAZER TOWNBANGALORE-560005.  ",ROC BANGALORE,radhika.j@appleofmyi.in,31-03-2019,31-03-2019
U52300KA2013PTC071089,MAKEFRESH RETAIL PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,20-09-2013,Karnataka,100000.0,100000.0,52300,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"NO.27, 1ST FLOOR, 6TH MAINSUDHA NILAYA, VYALIKAVAL  ",ROC BANGALORE,hg.associates28@gmail.com,,
U80300KA2009PTC050590,ROBOSENSE TRAINING PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,10-08-2009,Karnataka,100000.0,100000.0,80300,Education,"NO. 311, INDUS INNOVA, OPP. RMAKRISHNA REDDY BLDG.MAHADEVAPURA MAIN ROAD,  ",ROC BANGALORE,devpriya211084@gmail.com,,
U45202KA2007PTC042156,PALAM VIHAR BUILDCON PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,16-03-2007,Karnataka,100000.0,100000.0,45202,Construction,"E - 106, SUNRISE CHAMBERS,22 ULSOOR ROAD  ",ROC BANGALORE,roc_filings@sobha.com,31-03-2009,31-03-2009
U74999KA2019PTC130195,S4JS SOLUTIONS AND NETWORK PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,29-11-2019,Karnataka,100000.0,5000.0,74999,Real estate renting and business activities,"311, Block - ADS Max Sprinkles, Kodathi Village  ",ROC BANGALORE,info@s4js.com,,
U45205KA2011PTC059245,ADAMAS BUILDERS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,21-06-2011,Karnataka,2400000.0,249250.0,45205,Construction,Tower A Gr Flr Global Tech Park Marathahalli OuterRing Road Devarabeesanahalli Village Varthur Hobli  ,ROC BANGALORE,raja.mukherjee@mapletree.co.in,31-03-2019,31-03-2019
U72200KA2006PTC040004,ASPEN IT SOLUTIONS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,20-07-2006,Karnataka,500000.0,0.0,72200,Real estate renting and business activities,NO 896 5TH A CROSS6TH BLOCK KORAMANGALA  ,ROC BANGALORE,mp_naidu2001@yahoo.co.in,,
U45500KA2018PTC109713,ARTDIZIRE BUILDERS & DEVELOPERS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,18-01-2018,Karnataka,1000000.0,100000.0,45500,Construction,"No.1515,3rd Floor,34th Cross,17th B Main1st Stage, 5th Block HBR Layout  ",ROC BANGALORE,pavana.mahadeva@gmail.com,,
U24100KA2014PTC075012,PROTOWIN PHARMA PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,23-06-2014,Karnataka,1000000.0,1000000.0,24100,Manufacturing,"#421, 1ST FLOOR, 2ND STAGE, 6TH CROSS, 12TH MAIN,WEST OF CHORD ROAD, MAHALAKSHMIPURA,  ",ROC BANGALORE,kpr.co.advisors@gmail.com,,
U70102KA2006PTC039668,M.D.K. DEVELOPERS (BANGALORE) PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,09-06-2006,Karnataka,30000000.0,477000.0,70102,Real estate renting and business activities,"NO.67,COLES ROADFRAZER TOWN  ",ROC BANGALORE,elango_arvind@yahoo.co.in,31-03-2012,31-03-2012
U45202KA1995PTC017614,RITU BUILDERS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,18-04-1995,Karnataka,2500000.0,200.0,45202,Construction,"NO.22, 3RD CROSS,4TH BLOCK,KUMARAPARK WEST,  ",ROC BANGALORE,,,
U74999KA2018OPC110076,KALLAL ECOMMERCE GLOBAL TRADE (OPC)PRIVATE LIMITED  ,ACTV,Private(One Person Company),Company limited by Shares,Non-govt company,10-02-2018,Karnataka,1000000.0,100000.0,74999,Real estate renting and business activities,"NO 1196, 9TH MAIN ,GOKULAM 3RD STAGE  ",ROC BANGALORE,suma@elephantboat.in,31-03-2019,31-03-2019
U36103KA2010PTC053058,INNOVATIVE SLEEP SYSTEMS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,30-03-2010,Karnataka,2500000.0,2200000.0,36103,Manufacturing,"No.26, Govindappa Nilaya, 7th CrossMallappa Layout, Babasaheb Palayam  ",ROC BANGALORE,kvablr@gmail.com,31-03-2013,31-03-2013
U65990KA2019PTC122326,GEWISS WEALTH CONSTRUCTION PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,13-03-2019,Karnataka,1000000.0,500000.0,65990,Financial intermediation,"No 16, Prerana Nilaya, Navya NagarJakkur New Extn, Jakkur  ",ROC BANGALORE,oxfordgirish@gmail.com,,
U22122KA1981PTC004152,KARNATAKA JOURNALS AND PUBLICATIONSPRIVATE LIMITED CO.W.P.NO.  ,ULQD,Private,Company limited by Shares,Non-govt company,20-03-1981,Karnataka,2500000.0,3000.0,22122,Manufacturing,"105, I MAIN ROAD,PALACE GUTTAHALLI,BANGALORE  ",ROC BANGALORE,,,
U15400KA2015PTC082013,SACRED OVEN KITCHEN PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,05-08-2015,Karnataka,1000000.0,100000.0,15400,Manufacturing,"#4, 15TH CROSS, 100 FT RING ROAD4TH PHASE, JP NAGAR,  ",ROC BANGALORE,shabanabegum171@gmail.com,,
U72200KA2015FTC082334,SALTSIDE TECHNOLOGIES INDIA PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Subsidiary of Foreign Company,18-08-2015,Karnataka,50000000.0,15000000.0,72200,Real estate renting and business activities,"No 293/154/172, Indiqube Gamma, 3rd FloorOuter Ring Road, Kadubeesanahalli  ",ROC BANGALORE,sbidwai@saltside.se,31-03-2019,31-03-2019
U00313KA1997PLC000486,MYSORE PLASTICS LIMITED   ,STOF,Public,Company limited by Shares,Non-govt company,18-06-1997,Karnataka,1000.0,0.0,00313,Agriculture & allied,H.No.215/4Mysore Industrial Area  ,ROC BANGALORE,,,
U72200KA2015PTC080815,AGE INDIA E-SERVICES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,10-06-2015,Karnataka,500000.0,500000.0,72200,Real estate renting and business activities,"Sy No. 46/3 No 2, 1st Floor G N ComplexTumkur Road, Madanayakanahalli  ",ROC BANGALORE,basavaraju151079@gmail.com,,
U72200KA2008PTC048735,RIDDHAH TECHNOLOGIES PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,30-12-2008,Karnataka,100000.0,0.0,72200,Real estate renting and business activities,"NO.3, NEW NO.2, MANJUNATHA LAYOUTR.T.NAGAR  ",ROC BANGALORE,sanilmohan123@gmail.com,,
U63090KA2016PTC092637,NIKKOU LOGISTICS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,28-04-2016,Karnataka,500000.0,500000.0,63090,Transport storage and communications,"Survery.No46/5, # 3 Munireddy Layout,Garvebhavipalya, Bommanahalli,  ",ROC BANGALORE,Ravi256577@gmail.com,31-03-2019,31-03-2019
U40300KA2017PTC101564,TRIONE GASES & EQUIPMENTS PRIVATELIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,21-03-2017,Karnataka,1000000.0,100000.0,40300,Electricity gas and water supply,"DOOR NO.159, SHOP NO.4,GROUND FLOOR, REGAL COMPLEX,  ",ROC BANGALORE,KALESHMATHEW@GMAIL.COM,,
U85110KA1991PTC012019,TRISHUL WINERIES AND DISTILLERIESPRIVATE LIMITED  ,ACTV,Private,Company limited by Shares,Non-govt company,05-06-1991,Karnataka,1000000.0,1000000.0,85110,Health and social work,"'Brewery House', 7th Mile,Kanakapura Road,  ",ROC BANGALORE,vs1289@gmail.com,31-03-2019,31-03-2019
U51909KA1970PTC001928,ELECTRO QUQNTA PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,31-07-1970,Karnataka,500000.0,220.0,51909,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,"SRI RAMA BLDGIST FLOOR, ROOM NO 3MARATHALLO  ",ROC BANGALORE,,,
U01403KA2007PTC044665,LEMON - TREE PLANTATIONS PRIVATE LIMITED   ,ACTV,Private,Company limited by Shares,Non-govt company,13-12-2007,Karnataka,15000000.0,100000.0,01403,Agriculture & allied,# 131 3RD MAIN  1ST BLOCKRMV 2ND STAGE ASWATHNAGAR  ,ROC BANGALORE,sujaya.shashikiran@hical.com,31-03-2019,31-03-2019
U85110KA1997PTC021859,NIKHIL WORLD TRAVELS PRIVATE LIMITED   ,STOF,Private,Company limited by Shares,Non-govt company,24-02-1997,Karnataka,5000000.0,200.0,85110,Health and social work,House No.21/2J.C.Road  ,ROC BANGALORE,,,
